LONELY_dejong_emotional_social_loneliness_scale_score,WELLNESS_subjective_happiness_scale_score,CONNECTION_social_time_friends_p7d,PSYCH_relational_needs_satisfaction_scale_7pt_total_score,WELLNESS_subjective_happiness_scale_score
2,NA,16,NA,NA
3,NA,1,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,4.25,NA,NA,4.25
2,3.75,1,4.5,3.75
6,3,1,NA,3
NA,NA,NA,NA,NA
0,7,NA,NA,7
NA,NA,96,NA,NA
NA,NA,NA,NA,NA
6,3.25,NA,NA,3.25
6,NA,3,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,NA,0,NA,NA
5,4.25,3,4.25,4.25
5,3.75,7,NA,3.75
6,NA,0,NA,NA
4,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
5,NA,0,NA,NA
NA,NA,NA,NA,NA
3,NA,10,NA,NA
6,3,NA,NA,3
NA,NA,0,NA,NA
3,NA,0,NA,NA
5,4.5,NA,NA,4.5
3,NA,4,NA,NA
1,NA,0,NA,NA
5,4,NA,NA,4
6,3.25,NA,NA,3.25
1,NA,20,NA,NA
6,3.25,NA,NA,3.25
4,NA,30,NA,NA
5,NA,0,NA,NA
1,6,NA,NA,6
0,5.75,2,5.7,5.75
0,6,3,NA,6
NA,NA,NA,NA,NA
3,NA,5,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0,NA,3,NA,NA
3,6.75,NA,NA,6.75
3,5.5,NA,NA,5.5
6,4.5,NA,NA,4.5
5,4.25,NA,NA,4.25
2,5,NA,NA,5
0,NA,30,NA,NA
6,NA,0,NA,NA
3,6.25,NA,NA,6.25
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4,NA,0,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
5,NA,5,NA,NA
4,NA,5,NA,NA
3,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
6,5,NA,NA,5
6,3.75,NA,NA,3.75
NA,NA,NA,NA,NA
6,NA,NA,NA,NA
NA,NA,NA,NA,NA
4,NA,2,NA,NA
3,NA,3,NA,NA
4,NA,3,NA,NA
6,NA,5,NA,NA
5,NA,0,NA,NA
4,5.25,NA,NA,5.25
6,NA,5,NA,NA
NA,NA,NA,NA,NA
NA,NA,0,NA,NA
NA,NA,0,NA,NA
6,NA,0,NA,NA
4,NA,0,NA,NA
6,NA,8,NA,NA
NA,NA,NA,NA,NA
1,6,NA,NA,6
5,NA,17,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,1,NA,NA
6,5,16,NA,5
1,7,NA,NA,7
4,4.75,NA,NA,4.75
2,NA,10,NA,NA
1,NA,20,NA,NA
6,NA,1,NA,NA
NA,NA,NA,NA,NA
3,NA,6,NA,NA
6,NA,5,NA,NA
NA,NA,NA,NA,NA
4,NA,3,NA,NA
6,NA,0,NA,NA
4,NA,2,NA,NA
5,3.5,NA,NA,3.5
4,4.75,3,NA,4.75
5,NA,0,NA,NA
0,5.25,NA,NA,5.25
1,NA,2,NA,NA
3,4.75,NA,NA,4.75
4,NA,30,NA,NA
1,NA,27,NA,NA
NA,NA,NA,NA,NA
2,NA,1,NA,NA
4,5,NA,NA,5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1,3.5,NA,NA,3.5
4,4.5,NA,NA,4.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,NA,NA,NA,NA
6,NA,5,NA,NA
5,4.75,NA,NA,4.75
NA,NA,NA,NA,NA
6,NA,0,NA,NA
5,4,NA,NA,4
6,3,NA,NA,3
6,NA,3,NA,NA
5,NA,2,NA,NA
3,4.75,NA,NA,4.75
0,NA,10,NA,NA
6,2.5,NA,NA,2.5
6,NA,3,NA,NA
NA,NA,NA,NA,NA
5,NA,2,NA,NA
2,NA,2,NA,NA
4,NA,2,NA,NA
NA,NA,2,NA,NA
NA,NA,NA,NA,NA
NA,NA,92,NA,NA
NA,NA,8,NA,NA
6,4.25,NA,NA,4.25
NA,NA,NA,NA,NA
4,5.75,NA,NA,5.75
NA,NA,NA,NA,NA
6,NA,2,NA,NA
NA,NA,NA,NA,NA
2,5.5,NA,NA,5.5
4,NA,3,NA,NA
5,NA,30,NA,NA
1,NA,NA,NA,NA
4,4.25,NA,NA,4.25
6,NA,0,NA,NA
2,7,NA,NA,7
3,5.5,2,NA,5.5
2,6,4,5.3,6
3,6,NA,NA,6
4,4.5,NA,NA,4.5
5,4.25,NA,NA,4.25
5,2.25,NA,NA,2.25
5,NA,1,NA,NA
6,NA,3,NA,NA
6,NA,0,NA,NA
4,4.5,NA,NA,4.5
6,NA,0,NA,NA
5,NA,5,NA,NA
3,NA,12,NA,NA
3,4.25,NA,NA,4.25
6,3.25,NA,NA,3.25
NA,NA,NA,NA,NA
4,NA,2,NA,NA
NA,NA,4,NA,NA
5,3.75,NA,NA,3.75
NA,NA,NA,NA,NA
2,4.25,NA,NA,4.25
5,NA,9,NA,NA
0,NA,3,NA,NA
0,NA,24,NA,NA
4,NA,2,NA,NA
3,NA,24,NA,NA
1,NA,7,NA,NA
2,NA,0,NA,NA
2,5.75,NA,NA,5.75
2,5.75,NA,NA,5.75
3,4.75,NA,NA,4.75
6,NA,0,NA,NA
2,NA,2,NA,NA
6,NA,3,NA,NA
NA,NA,NA,NA,NA
2,NA,20,NA,NA
NA,NA,NA,NA,NA
5,NA,11,NA,NA
6,4.25,NA,NA,4.25
3,NA,16,NA,NA
4,NA,24,NA,NA
2,6,NA,NA,6
3,NA,24,NA,NA
1,NA,3,NA,NA
NA,NA,NA,NA,NA
1,NA,9,NA,NA
NA,NA,NA,NA,NA
NA,NA,1,NA,NA
3,NA,10,NA,NA
6,NA,5,NA,NA
NA,NA,168,NA,NA
5,5.75,NA,NA,5.75
NA,NA,NA,NA,NA
3,NA,6,NA,NA
NA,NA,NA,NA,NA
NA,NA,1,NA,NA
5,5,NA,NA,5
NA,NA,NA,NA,NA
2,NA,2,NA,NA
4,5.5,NA,NA,5.5
2,NA,41,NA,NA
NA,NA,NA,NA,NA
1,NA,5,NA,NA
5,3,NA,NA,3
0,NA,6,NA,NA
NA,NA,NA,NA,NA
4,NA,11,NA,NA
4,3.25,NA,NA,3.25
NA,NA,NA,NA,NA
6,NA,NA,NA,NA
2,NA,1,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
4,NA,3,NA,NA
4,NA,0,NA,NA
NA,NA,NA,NA,NA
NA,NA,2,NA,NA
4,2.75,NA,NA,2.75
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3,6.5,NA,NA,6.5
2,NA,0,NA,NA
4,3.5,NA,NA,3.5
3,NA,9,NA,NA
6,5.5,NA,NA,5.5
4,4.5,NA,NA,4.5
3,NA,NA,NA,NA
2,NA,NA,NA,NA
5,NA,1,NA,NA
6,5,NA,NA,5
3,NA,20,NA,NA
6,3.5,NA,NA,3.5
6,NA,NA,NA,NA
1,NA,5,NA,NA
5,NA,10,NA,NA
NA,NA,NA,NA,NA
5,4.25,NA,NA,4.25
6,NA,1,NA,NA
6,NA,6,NA,NA
3,NA,0,NA,NA
NA,NA,0,NA,NA
0,NA,1,NA,NA
4,NA,12,NA,NA
NA,NA,NA,NA,NA
3,6.75,NA,NA,6.75
4,NA,NA,NA,NA
4,NA,1,NA,NA
6,NA,0,NA,NA
4,NA,0,NA,NA
3,4,NA,NA,4
5,NA,60,NA,NA
5,3.75,NA,NA,3.75
6,NA,1,NA,NA
6,NA,NA,NA,NA
5,NA,0,NA,NA
NA,NA,5,NA,NA
NA,NA,2,NA,NA
